"COUNTRY_detect","Total_Revenue","yColumn","xColumn"
"UNITED STATES",4659.1091583,305.23828438,"США"
"SOUTH KOREA",844.763754055119,28.2179799156272,"ПІВДЕННА КОРЕЯ"
"GERMANY",1253.99056985395,54.1303930994726,"НІМЕЧЧИНА"
"SWITZERLAND",346.48461255,30.3654634775225,"ШВЕЙЦАРІЯ"
"JAPAN",2675.80379883,106.887434974988,"ЯПОНІЯ"
"BRITAIN",600.74758859,22.986390696244,"ВЕЛИКОБРИТАНІЯ"
"FRANCE",858.39954667,23.8411439765129,"ФРАНЦІЯ"
"NETHERLANDS",639.743914882131,17.0091733896845,"НІДЕРЛАНДИ"
"FINLAND",57.28554842,5.40937401180051,"ФІНЛЯНДІЯ"
"SWEDEN",156.22891111,8.44809632184272,"ШВЕЦІЯ"
"SINGAPORE",13.24,2.674,"СІНГАПУР"
"IRELAND",208.06307529,11.0356688988174,"ІРЛАНДІЯ"
"CHINA",1797.84991490573,41.9765618175358,"КИТАЙ"
"TAIWAN",397.41620398,12.3050508831356,"ТАЙВАНЬ"
"ISRAEL",29.874065,3.224714,"ІЗРАЇЛЬ"
"DENMARK",34.88660596,3.35779974272591,"ДАНІЯ"
"ITALY",102.93663257,3.33334045586823,"ІТАЛІЯ"
"HONG KONG",123.19835393444,3.25765365125173,"ГОНКОНГ"
"BELGIUM",79.90356711,2.49106636462155,"БЕЛЬГІЯ"
"SPAIN",108.143188761322,2.62225026142294,"ІСПАНІЯ"
"AUSTRALIA",28.12484196,1.65961049047476,"АВСТРАЛІЯ"
"CANADA",86.85229882,2.9016722221302,"КАНАДА"
"BRAZIL",118.04488892,1.214030974858,"БРАЗИЛІЯ"
"INDIA",152.082593640029,2.87222657677365,"ІНДІЯ"
